path,name,bg_color,t_pos,t_x,t_y,t_ori,d_ori,t_color,d_color,t_shape,d_shape,t_height,d_height,t_height2,d_height2,t_width,d_width
orientations,image_ellipse_0_-10.png,#ffffff,4,497.2929965574308,73.97042404066849,0,-10,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_10.png,#ffffff,1,62.72106375508277,83.34818612645091,0,10,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-20.png,#ffffff,16,207.07789443012797,375.1994760693885,0,-20,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_20.png,#ffffff,33,650.0018701690844,671.589812310311,0,20,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-30.png,#ffffff,13,808.9634585508529,218.66152871196186,0,-30,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_30.png,#ffffff,45,356.71391385989824,957.1278125885673,0,30,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-40.png,#ffffff,23,228.07575650801095,517.4627331032486,0,-40,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_40.png,#ffffff,20,799.9129440670146,361.38133045692734,0,40,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-50.png,#ffffff,10,353.83791020549194,226.2790455450977,0,-50,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_50.png,#ffffff,29,81.86012727997628,653.3668795884919,0,50,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-60.png,#ffffff,30,206.49967284863985,672.5036385692623,0,-60,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_60.png,#ffffff,22,78.80658568181357,502.2640317762971,0,60,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-70.png,#ffffff,7,941.5831878488985,76.80565629352594,0,-70,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_70.png,#ffffff,34,817.221058555441,653.34570251362,0,70,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-80.png,#ffffff,11,515.6714033576023,214.56789611824067,0,-80,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_80.png,#ffffff,41,811.7479833402678,798.2029060638342,0,80,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
orientations,image_ellipse_0_-90.png,#ffffff,48,817.7312952915779,952.8886733203328,0,-90,#023858,#023858,ellipse,ellipse,75,75,50,50,20,20
