path,name,bg_color,t_pos,t_x,t_y,t_ori,d_ori,t_color,d_color,t_shape,d_shape,t_height,d_height,t_height2,d_height2,t_width,d_width
sizes,image_rectangle_0_0.25.png,#ffffff,4,497.90680989586383,84.68069244330516,0,0,#023858,#023858,rectangle,rectangle,18,75,12,50,3,15
sizes,image_rectangle_0_0.5.png,#ffffff,6,802.7686507119399,87.2132905268712,0,0,#023858,#023858,rectangle,rectangle,37,75,25,50,7,15
sizes,image_rectangle_0_0.75.png,#ffffff,28,952.7981652243835,521.8607035785728,0,0,#023858,#023858,rectangle,rectangle,56,75,37,50,11,15
sizes,image_rectangle_0_1.25.png,#ffffff,46,508.6393860773493,960.4103594246405,0,0,#023858,#023858,rectangle,rectangle,93,75,62,50,18,15
sizes,image_rectangle_0_1.5.png,#ffffff,40,660.7685196978201,794.9429130884248,0,0,#023858,#023858,rectangle,rectangle,112,75,75,50,22,15
sizes,image_rectangle_0_1.75.png,#ffffff,19,649.5994798088482,352.37249596219806,0,0,#023858,#023858,rectangle,rectangle,131,75,87,50,26,15
sizes,image_rectangle_0_2.png,#ffffff,12,654.5157369485139,217.94894468946381,0,0,#023858,#023858,rectangle,rectangle,150,75,100,50,30,15
sizes,image_ellipse_0_0.25.png,#ffffff,46,501.8277319540215,938.7985376281096,0,0,#023858,#023858,ellipse,ellipse,18,75,12,50,5,20
sizes,image_ellipse_0_0.5.png,#ffffff,5,660.7956966185953,82.30864987884357,0,0,#023858,#023858,ellipse,ellipse,37,75,25,50,10,20
sizes,image_ellipse_0_0.75.png,#ffffff,23,204.95405656195206,503.3374113684314,0,0,#023858,#023858,ellipse,ellipse,56,75,37,50,15,20
sizes,image_ellipse_0_1.25.png,#ffffff,39,526.8352499675709,807.9276997711293,0,0,#023858,#023858,ellipse,ellipse,93,75,62,50,25,20
sizes,image_ellipse_0_1.5.png,#ffffff,25,499.3839547333363,501.8624452438456,0,0,#023858,#023858,ellipse,ellipse,112,75,75,50,30,20
sizes,image_ellipse_0_1.75.png,#ffffff,30,223.41989305573088,657.6148856983126,0,0,#023858,#023858,ellipse,ellipse,131,75,87,50,35,20
sizes,image_ellipse_0_2.png,#ffffff,6,802.0326769712722,62.88765645844093,0,0,#023858,#023858,ellipse,ellipse,150,75,100,50,40,20
sizes,image_circle_0_0.25.png,#ffffff,2,212.8007307856006,82.09277704805169,0,0,#023858,#023858,circle,circle,18,75,12,50,18,75
sizes,image_circle_0_0.5.png,#ffffff,36,65.36989813143585,816.5078035873541,0,0,#023858,#023858,circle,circle,37,75,25,50,37,75
sizes,image_circle_0_0.75.png,#ffffff,10,374.227758568868,216.83725117769632,0,0,#023858,#023858,circle,circle,56,75,37,50,56,75
sizes,image_circle_0_1.25.png,#ffffff,38,373.0421429950794,790.0459020778198,0,0,#023858,#023858,circle,circle,93,75,62,50,93,75
sizes,image_circle_0_1.5.png,#ffffff,39,522.3138535429592,815.1893628579309,0,0,#023858,#023858,circle,circle,112,75,75,50,112,75
sizes,image_circle_0_1.75.png,#ffffff,49,947.3952051249397,961.7057126425357,0,0,#023858,#023858,circle,circle,131,75,87,50,131,75
sizes,image_circle_0_2.png,#ffffff,41,795.3508773799222,818.9859194994167,0,0,#023858,#023858,circle,circle,150,75,100,50,150,75
sizes,image_square_0_0.25.png,#ffffff,15,61.75901989549506,376.7781561156664,0,0,#023858,#023858,square,square,18,75,12,50,18,75
sizes,image_square_0_0.5.png,#ffffff,10,357.48568020550863,226.20144366514575,0,0,#023858,#023858,square,square,37,75,25,50,37,75
sizes,image_square_0_0.75.png,#ffffff,39,506.0532316563408,792.1833637268093,0,0,#023858,#023858,square,square,56,75,37,50,56,75
sizes,image_square_0_1.25.png,#ffffff,7,952.2375160871064,76.52373784562724,0,0,#023858,#023858,square,square,93,75,62,50,93,75
sizes,image_square_0_1.5.png,#ffffff,35,963.7065322527005,671.5066710410828,0,0,#023858,#023858,square,square,112,75,75,50,112,75
sizes,image_square_0_1.75.png,#ffffff,47,653.9654927509378,950.6295471282912,0,0,#023858,#023858,square,square,131,75,87,50,131,75
sizes,image_square_0_2.png,#ffffff,43,84.49685717562913,957.755984780855,0,0,#023858,#023858,square,square,150,75,100,50,150,75
